JOURNAL,ABBRV,KEY
Accounts of Chemical Research,Acc. Chem. Res.,
ACS Catalysis,ACS Catal.,ACSCat
ACS Central Science,ACS Cent. Sci.,
ACS Combinatorial Science,ACS Comb. Sci.,
ACS Energy Letters,ACS Energy Lett.,
ACS Nano,ACS Nano,
ACS Omega,ACS Omega,
ACS Sustainable Chemistry & Engineering,ACS Sustainable Chem. Eng.,
Advanced Energy Materials,Adv. Energ. Mater.,AEM
Advanced Functional Materials,Adv. Funct. Mater.,AFM
Advanced Science,Adv. Sci.,
Analytical Chemistry,Anal. Chem.,
Biochemistry,Biochem.,
Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,Angew
Catalysis Science \& Technology,Catal. Sci. Technol.,
Catalysis Today,Catal. Tod.,CatTod
Chemical Communications,Chem. Commun.,ChemCom
ChemCatChem,ChemCatChem,
ChemElectroChem,ChemElectroChem,
Chemistry Letters,Chem. Lett.,ChemLett
ChemSusChem,ChemSusChem,
Chemical Physics,Chem. Phys.,
Chemical Reviews,Chem. Rev.,
Chemical Science,Chem. Sci.,
Chemistry of Materials,Chem. Mater.,
Plant Molecular Biology,Plant Mol. Biol.,
Current Opinion in Electrochemistry,Curr. Opin. Electrochem.,
Electroanalysis,Electroanalysis,
Electrochemistry Communications,Electrochem. Commun.,ElectrochemCom
Electrochimica Acta,Electrochim. Acta,EActa
Energy \& Environmental Science,Energ. Environ. Sci.,EES
Environmental Science \& Technology,Environ. Sci. Technol.,EST
Environmental Science \& Technology Letters,Environ. Sci. Technol. Lett.,ESTL
Faraday Discussions,Faraday Disc.,
Frontiers in Energy Research,Front. Energ. Res.,FER
Inorganic Chemistry,Inorg. Chem.,
International Journal of Hydrogen Energy,Int. J. Hyd. Energ.,IJHE
Journal of Catalysis,J. Catal.,JCat
Journal of Chemical Education,J. Chem. Educ.,
Journal of Chemical Information and Modeling,J. Chem. Inf. Model.,
Journal of Chemical Theory and Computation,J. Chem. Theory Comput.,
Journal of Electroanalytical Chemistry,J. Electroanal. Chem.,JEAC
Journal of Electroanalytical Chemistry and Interfacial Electrochemistry,J. Electroanal. Chem. Interfacial Electrochem.,JEAC
Journal of Power Sources,J. Power Sources,JPS
Journal of Solid State Electrochemistry,J. Solid State Electrochem.,JSSE
Journal of the American Chemical Society,J. Am. Chem. Soc.,JACS
Journal of the Electrochemical Society,J. Electrochem. Soc.,JECS
Journal of Materials Chemistry A,J. Mat. Chem. A,JMCA
Langmuir,Langmuir,
Matter,Matter,
Molecular Informatics,Mol. Inform.,MolInf
Nano Energy,Nano Energ.,
Nature Communications,Nat. Commun.,NCom
Nature Chemistry,Nat. Chem.,NChem
Nature Energy,Nat. Energ.,NEnerg
Nature Materials,Nat. Mater.,NMat
Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci.,PNAS
Physical Chemistry Chemical Physics,Phys. Chem. Chem. Phys.,PCCP
Pure and Applied Chemistry,Pure Appl. Chem.,IUPAC
Science,Science,
Science Advances,Sci. Adv.,
Small,Small,
Surface Science,Surf. Sci,
The Journal of Chemical Physics,J. Chem. Phys.,JCP
The Journal of Physical Chemistry,J. Phys. Chem.,JPC
The Journal of Physical Chemistry A,J. Phys. Chem. A,JPCA
The Journal of Physical Chemistry B,J. Phys. Chem. B,JPCB
The Journal of Physical Chemistry C,J. Phys. Chem. C,JPCC
The Journal of Physical Chemistry Letters,J. Phys. Chem. Lett.,JPCL
Topics in Catalysis,Top. Catal.,TopCat
Transactions of the Faraday Society,Trans. Faraday Soc.,TransFaraday
Wiley Interdisciplinary Reviews: Computational Molecular Science,WIRES Comput. Mol. Sci.,WIRES
"Zeitschrift f{\""u}r Physikalische Chemie",Z. Phys. Chem.,ZPC
RSC Advances,RSC Adv.,RSCAdv
The FEBS journal,FEBS J.,
FEBS letters,FEBS Lett.,FEBSL
BMC Systems Biology,BMC Syst. Biol.,
Perspectives in Science,Perspect. Sci.,
Annual Review of Nutrition,Annu. Rev. Nutr.,
Trends in Plant Science,Trends Plant Sci.,
Trends in Biotechnology,Trends Biotechnol.,
Molecular and Cellular Biochemistry,Mol. Cell. Biochem.,
RSC Chemical Biology,RSC Chem. Biol.,
Biochemical Journal,Biochem. J.,
The Journal of Biochemistry,J. Biochem.,
Analytical Biochemistry,Anal. Biochem.,
Nature Catalysis,Nat. Catal.,
Springerplus,Springerplus,
Gene Function \& Disease,Gene Funct. Dis.,
JACS Au,JACS Au,
Nature chemical biology,Nat. Chem. Biol.,
Journal of Biological Chemistry,J. Biol. Chem.,
Enzyme and Microbial Technology,Enzyme Microb. Technol.,
Bioresource Technology,Biores. Technol.,
Biochemical Pharmacology,Biochem. Pharmacol.,
Origins of Life and Evolution of the Biosphere,Orig. Life. Evol. Biosph.,
